,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
VEGFD,8.513559039974389,-5.86782219195545,0.6844793004791284,-8.572680266368954,1.0110391771476375e-17,2.10983655487169e-13
GPAM,35.31573430634175,-4.492159880536836,0.6342122770972021,-7.083054117302035,1.4101157522729928e-12,1.4713147759216407e-08
KCNMB1,4.508507791015059,-2.894890996609949,0.41224485933295396,-7.022260996278086,2.1830623998988646e-12,1.51853820536965e-08
ACSS2,34.61895543056924,-2.022520736594026,0.2953299867781259,-6.848341946777981,7.471081486049736e-12,3.897663211272148e-08
GSN,196.16345251555447,-2.7772981187751458,0.42749228167634834,-6.496721082037735,8.208944895050504e-11,3.4260852413982784e-07
MMP11,270.21576066279283,5.283089825298363,0.8180462101728416,6.458180185422681,1.059695256893729e-10,3.6856201034763894e-07
LPL,160.76913512372067,-5.409261743205279,0.8462486898053403,-6.3920474068320905,1.6367913138822015e-10,4.879508734013398e-07
SIK2,23.561726208688,-2.599035254381839,0.4080560478350043,-6.3693094813111255,1.8988112180060399e-10,4.953049062168755e-07
MAMDC2,5.518369224811355,-2.8510770021612717,0.4509082431352802,-6.322964917068282,2.5659157408496575e-10,5.949503297783405e-07
KLHL13,5.136188404964228,-3.4524533533327055,0.559133026720804,-6.174654667746258,6.63082412801394e-10,1.1531003158616241e-06
COL10A1,200.03101204677202,6.7826159307384035,1.095290066293837,6.192529394235198,5.920630372055266e-10,1.1531003158616241e-06
DGAT2,32.71396872270527,-4.42434131737993,0.7159454982209666,-6.179718048893184,6.421618404975155e-10,1.1531003158616241e-06
GYG2,48.29281854511799,-4.276057137717718,0.6993043957097815,-6.114729385302371,9.672095277416751e-10,1.5525944942240981e-06
COMP,183.75492866108547,5.800221964418436,0.9623002019144443,6.027455832264409,1.665607477215041e-09,2.482706916751677e-06
CCDC3,30.88779866231136,-3.3658246729524035,0.5613035573368222,-5.996442796339998,2.016866096601403e-09,2.6378960886003888e-06
NPR1,18.72754704683894,-3.907480637732271,0.6516826983220109,-5.995986463647832,2.0225386916621728e-09,2.6378960886003888e-06
MMD,35.517321499222334,-3.17766459436575,0.5328282231533255,-5.963769290523021,2.46484698033492e-09,3.025672163860536e-06
EBF1,13.825930778552399,-3.174017891908617,0.5346496144177098,-5.93663177961039,2.909370815542362e-09,3.372930565485445e-06
KCNIP2,19.236914694548965,-5.2203653970233415,0.8823241797974833,-5.916606975705407,3.2865074859880767e-09,3.6096230640841675e-06
ACACB,19.06791487660314,-4.040857361965119,0.6908905263609437,-5.8487664945257105,4.9523171789472075e-09,5.167247744513517e-06
TNS1,69.46267720112733,-3.036453308895228,0.5213280685629892,-5.824457749349727,5.729833083660398e-09,5.435007126810236e-06
HPD,4.264069246424678,-6.304928611068008,1.0814965628860946,-5.829818445509064,5.548771251328266e-09,5.435007126810236e-06
EGFLAM,8.273777491696238,-2.2369612248428057,0.3878059692583593,-5.768248562859343,8.00996068366549e-09,7.267472154205715e-06
BTNL9,11.786971474357257,-4.341582802357653,0.754682827886627,-5.75285754747539,8.774742275688503e-09,7.629638408711154e-06
ITGA7,21.155340214367047,-4.231797974713315,0.7365801437954665,-5.745196921692203,9.181407156899976e-09,7.663904182007548e-06
ACO1,31.40588350650121,-2.2521525204288215,0.3944788507790945,-5.709184449257108,1.1351881406209216e-08,9.111194660952843e-06
TMEM220,4.213590231576612,-2.4571442867781683,0.43178075470538246,-5.6907221083875195,1.2650324234987159e-08,9.777295042063409e-06
HBB,68.66846915734355,-5.261698211736073,0.934858007075644,-5.628339461086012,1.8195273722496634e-08,1.3560677572894992e-05
PAMR1,8.896382427175997,-3.2468537956998804,0.5829599341443066,-5.569600251286138,2.553244477951216e-08,1.837279509168482e-05
KLB,6.255305768581737,-5.305605125964925,0.9562709201040559,-5.548223849981341,2.8858624510755474e-08,2.0074059209681508e-05
FMO2,12.971295383115478,-3.6899349390637752,0.6668273001379527,-5.5335690939774125,3.1377929430358785e-08,2.1122407462991196e-05
EEPD1,10.668181520868494,-1.9031578652156724,0.34620803931235844,-5.4971509875846385,3.859762082644565e-08,2.46788239243973e-05
NATD1,15.481972807784624,-2.0831823279971484,0.3790911202997527,-5.495202120139207,3.9026317304251045e-08,2.46788239243973e-05
EGR2,26.392905931022476,-3.0959825072034697,0.5661541062774978,-5.468444850748796,4.5400127651040906e-08,2.78649959947624e-05
AOC3,86.23302685630627,-4.043702167424125,0.7475980263968937,-5.408925685522552,6.340393034469315e-08,3.780323481237305e-05
TYRO3,5.3490701892837444,-2.780492535216911,0.5169449156331725,-5.378701774852094,7.5024866181059e-08,4.253347809817335e-05
KLF15,4.642294482868035,-3.6533916502788077,0.6793506391525233,-5.377770240764537,7.54139682591726e-08,4.253347809817335e-05
FZD4,34.976375092172816,-2.9516097664099683,0.5496099908879976,-5.370371382152445,7.857465713478061e-08,4.314989329180531e-05
GSTM5,19.158795200070635,-5.791722198189832,1.0802609449829408,-5.361410338019111,8.25747060320261e-08,4.3360567246324204e-05
CAPN11,1.7928819052569784,-2.9454926735772706,0.549508172896497,-5.360234513076242,8.31139874378459e-08,4.3360567246324204e-05
ELMOD3,13.670010403116613,-1.8675568369668425,0.35034810070104705,-5.330575028749575,9.790227497532964e-08,4.864344462345664e-05
DENND2A,4.752235703158357,-2.251098807265135,0.42225523510280666,-5.3311329739157856,9.760191608573574e-08,4.864344462345664e-05
SMYD1,1.8545940593218766,-5.846150791480509,1.1025797840455542,-5.302247398396857,1.1438568081309659e-07,5.551163691180697e-05
ACSM1,15.334687409754341,-5.155989533359941,0.9734323207203299,-5.296710848417856,1.1790717670126839e-07,5.5774223952500586e-05
