,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RTKN2,19.98454286160792,-5.223227312405998,0.39493763721368774,-13.225448324591769,6.2563074781346765e-40,1.1672392861955867e-35
PRX,11.54510944947493,-3.911856586865503,0.32419616749259017,-12.066325820939609,1.5907960279723316e-33,1.4839740746939896e-29
LGI3,12.380867846470299,-6.86816375184537,0.6063488546374062,-11.327082914921148,9.636070986269824e-30,5.992672546361203e-26
TNNC1,50.09257749884236,-4.762018304294963,0.4366087400694624,-10.906832290020919,1.0691724478904992e-27,4.986887590073261e-24
KANK3,6.957012025440869,-3.080869279715332,0.314660949441367,-9.791076030199966,1.229800653809185e-22,4.588878159623593e-19
GPM6A,5.682366632834201,-6.626346081273221,0.6815008754181319,-9.723165912600852,2.401948586726439e-22,7.4688591304258615e-19
SEMA3G,13.590537152282302,-3.6602885577190456,0.38734986721323805,-9.449567090477505,3.402349179061806e-21,7.934703579219514e-18
PRKCE,8.017829773887739,-2.5795833506554673,0.2729130906578415,-9.452032309763991,3.323147995578681e-21,7.934703579219514e-18
KCNK3,8.869585102273618,-3.7589935504131917,0.40137305174714566,-9.365336148130984,7.580859334201983e-21,1.571512139980071e-17
CPB2,4.951400427792613,-5.7716461943438,0.6172121305750177,-9.351154827379561,8.669589508481544e-21,1.6174853145974016e-17
CAT,116.88376580048192,-2.3326139019486134,0.25354004690550636,-9.200179342153282,3.573528347027884e-20,6.061028942772657e-17
FENDRR,7.168559759241229,-5.050451954146338,0.5522955912610162,-9.144472695527062,5.992147391398325e-20,9.316291156776546e-17
HSPA12B,12.962371108396049,-3.2090352819678145,0.3519577600917304,-9.117671623809194,7.675557998879497e-20,1.1015606583468829e-16
NPR1,13.878331971637477,-3.179644827542897,0.36415222566652883,-8.731636396627836,2.5101407197200937e-18,3.3451211005584133e-15
PTPN21,12.738077151654661,-2.931683421359998,0.33856718521690415,-8.659089094773925,4.75549033312393e-18,5.914878876339544e-15
VIPR1,14.316677417138525,-4.305079656466588,0.4979351143348468,-8.64586475733372,5.339933124450587e-18,6.2266957689296624e-15
STX11,11.686125055498978,-3.4524254063860202,0.400824996663498,-8.613298659325912,7.098784448346203e-18,7.790707144282066e-15
ARHGEF15,10.0819448131446,-2.801881216124518,0.32797771627282024,-8.542901170132673,1.308933401545594e-17,1.3567094707020081e-14
SLC6A4,20.426115123999786,-8.913645184902776,1.0447250591760693,-8.532048797539701,1.43778381609788e-17,1.4118280345756919e-14
SH2D3C,21.32617944107039,-2.752911857266252,0.32404302175434674,-8.495513473372071,1.970597919267307e-17,1.8382722689885073e-14
STXBP6,4.144754909571513,-4.343582675040148,0.5121767560082084,-8.480632172559067,2.239736394821326e-17,1.9898458056276894e-14
CA4,11.28289967391959,-5.69137233608913,0.6738037227967473,-8.446632370130034,2.998260015949492e-17,2.5426607780713487e-14
AGER,782.7924283961624,-6.834206221975149,0.8146396787659529,-8.389238089074993,4.8930286838139394e-17,3.8256275074643345e-14
SMAD6,11.141714505730965,-3.294950678609982,0.39279084685665244,-8.388562780874734,4.921212423173288e-17,3.8256275074643345e-14
LIN7A,3.4442592802507583,-3.54097955736508,0.4235397235181901,-8.360442623779074,6.248338109478237e-17,4.663009764341419e-14
MYZAP,4.602121608790448,-4.100263502597869,0.4907391798348511,-8.355280505578818,6.527740697115345e-17,4.684156084080038e-14
ADRB1,7.0620889628705115,-4.709278634475988,0.5715305931585889,-8.239766498674992,1.7254706707330565e-16,1.1590499336166697e-13
OTUD1,30.752200072577292,-2.475326511851017,0.3006007327765954,-8.234599060976556,1.8015998324962975e-16,1.1590499336166697e-13
TEK,16.943126745046854,-3.5651990760491667,0.4328799775126854,-8.235999032652623,1.7806537339563697e-16,1.1590499336166697e-13
PALM2AKAP2,28.13126092533533,-2.7639810597523438,0.33640768894778467,-8.216164940811902,2.101144190144896e-16,1.3067015718511107e-13
VEPH1,8.736851441155526,-4.093619060763218,0.505840550444917,-8.092706401577798,5.835340274820017e-16,3.5119336615263573e-13
ROBO4,17.36218601697868,-3.339592529305115,0.41319577229532284,-8.082349223356072,6.353086270511461e-16,3.7040478296541356e-13
RBP2,3.7748168634033084,-5.328683738945338,0.661280874455536,-8.058124686174686,7.747377407704522e-16,4.3332445357417413e-13
SCUBE1,3.2162891190567913,-4.93407851841178,0.6124885604660811,-8.055788853684268,7.8967848108066245e-16,4.3332445357417413e-13
VEGFD,20.17547329769475,-4.683425307183263,0.5823701589018322,-8.042007708662027,8.837833061567546e-16,4.711070040847591e-13
CASKIN2,25.092474825620847,-1.8597604671497745,0.23459740733450837,-7.927455329879133,2.2368193557579893e-15,1.159231631121578e-12
LRRN3,3.760711854133886,-4.008774365205041,0.5067716193473251,-7.910416077301194,2.565300606195234e-15,1.2935354975617426e-12
EDNRB,22.77200238981399,-3.695577728794266,0.46988154437554797,-7.864913557534011,3.69352408557406e-15,1.8134231280146114e-12
LRRK2-DT,9.029369307821192,-3.7889579305555587,0.49147769644330125,-7.709318160265015,1.2649171053946213e-14,6.051168829576269e-12
ARHGEF26,16.88891205298262,-3.344801530728272,0.4362012161020718,-7.668024313681838,1.746657835521106e-14,8.146848809329318e-12
KL,3.096813463278047,-3.3741094197783745,0.4402433553523803,-7.6641915857597995,1.799610932578102e-14,8.189107602221867e-12
SGCG,2.1674699034145357,-4.7817605052801495,0.6245028484822545,-7.656907437494299,1.9046380501238095e-14,8.46067430979998e-12
CDH5,42.50100708957394,-2.795087412962483,0.365398327497339,-7.6494258528943,2.0187864072151525e-14,8.75918558125886e-12
LANCL1-AS1,2.451776735144959,-4.62723719393056,0.6147379279510029,-7.527170495813899,5.18516466593503e-14,2.198627663007951e-11
THSD1,5.752722377232683,-2.61176366750938,0.3498991143742867,-7.464333461317594,8.372233008948806e-14,3.471127805510175e-11
CAV1,258.73111389400947,-4.278491800509789,0.5737281185859153,-7.457350723989465,8.827948934108744e-14,3.5805009405144965e-11
EMP2,133.3132701400183,-3.4965843550937223,0.47212316716898867,-7.406085102877779,1.3008237386361956e-13,5.163716700369255e-11
